Name,Status,URL,Clean URL,Payouts,Life time,Monitoring,Admin rate,User rate,Funds return,Min deposit,Max deposit,Referral bonus,Payment methods
Global - Fund,PAYING,http://global-fund.org,http://global-fund.org,1-3% monthly!,1249 days,1249 days,1,10.3,37.00%,$100,"$100,000",n/a,['PerfectM']
Senior Gold,PAYING,http://seniorgold.biz/?ref=goldpoll,http://seniorgold.biz,8-15% weekly!,663 days,661 days,1,1.0,712.00%,$80,n/a,5%,"['Ego', 'PerfectM', 'Stp']"
LPL Financial,PAYING,http://lplfinancial.biz/?ref=goldpoll,http://lplfinancial.biz,8-10% monthly!,1026 days,1026 days,1,1.1,256.00%,$10,n/a,5%,['PerfectM']
Fresht Capital Management,PAYING,http://freshtcapitalmanagement.com/?ref=goldpoll,http://freshtcapitalmanagement.com,1.2-3.2% daily!,624 days,624 days,1,-0.7,631.20%,$50,n/a,5-10%,['PerfectM']
Pay Orbit,PAYING,http://payorbit.com/?ref=goldpoll,http://payorbit.com,5-10% weekly!,873 days,870 days,1,0.0,605.00%,$100,n/a,5%,['PerfectM']
Capital Classical,PAYING,http://www.capitalclassical.com,http://www.capitalclassical.com,6.5-12.5% monthly!,1186 days,1186 days,1,0.4,240.50%,$100,"$200,000",n/a,['PerfectM']
Online - Investments,PAYING,http://online-investments.biz/?ref=goldpoll,http://online-investments.biz,108-150% after 10 days!,1366 days,1366 days,1,34.8,838.00%,$100,n/a,7%,['PerfectM']
Investment Capital Limited UK,PAYING,http://i-capital.co/?ref=goldpoll,http://i-capital.co,1% daily!,637 days,637 days,1,0.5,2291.71%,$10,"$50,000",n/a,"['PerfectM', 'Stp']"
Grand Wealth Signal,PAYING,http://www.grandwealthsignal.com,http://www.grandwealthsignal.com,7-16% monthly!,1203 days,1203 days,1,1.0,266.00%,$100,n/a,n/a,['PerfectM']
Stock Invest Club,PAYING,http://www.stockinvestclub.com,http://www.stockinvestclub.com,3-7% monthly!,1102 days,1102 days,1,-0.1,105.00%,$100,"$500,000",n/a,['PerfectM']
Genius Trend,PAYING,http://www.geniustrend.com,http://www.geniustrend.com,3.5-6.5% monthly!,723 days,723 days,1,0.5,31.50%,$100,"$200,000",n/a,['PerfectM']
Trade Swap,PAYING,http://tradeswap.biz/?ref=goldpoll,http://tradeswap.biz,5-7% weekly!,872 days,869 days,1,-0.5,1037.00%,$100,n/a,6%,['PerfectM']
My Bright World,PAYING,http://mybrightworld.com/?ref=goldpoll,http://mybrightworld.com,0.6-1% daily!,665 days,661 days,1,0.5,335.40%,$10,n/a,3%,['PerfectM']
Index Budget,PAYING,http://www.indexbudget.com/?ref=goldpoll,http://www.indexbudget.com,4.4-8.5% daily!,224 days,224 days,2,19.5,705.20%,$1,n/a,1-10%,"['Ego', 'PerfectM', 'Stp']"
VIC Money,PAYING,http://vicmoney.com/?ref=goldpoll,http://vicmoney.com,0.8-2.3% daily!,665 days,661 days,2,1.4,901.20%,$10,n/a,6%,['PerfectM']
Capital Boniad,PAYING,http://capitalboniad.com/?ref=goldpoll,http://capitalboniad.com,25.5-33.5% daily!,624 days,624 days,1,4.5,354.00%,$10,n/a,5%,['PerfectM']
Premium Season,PAYING,http://www.premiumseason.com,http://www.premiumseason.com,4-10% monthly!,624 days,624 days,1,0.0,76.00%,$100,"$250,000",n/a,['PerfectM']
Asten Ronza,PAYING,http://www.astenronza.com,http://www.astenronza.com,2-5% monthly!,788 days,783 days,1,-0.5,44.00%,$100,"$500,000",n/a,['PerfectM']
Total Finance Wizard,PAYING,http://totalfinancewizard.com,http://totalfinancewizard.com,5-12% monthly!,633 days,632 days,1,0.2,80.00%,$50,"$200,000",n/a,['PerfectM']
Major Alliance Invest,PAYING,http://majorallianceinvest.com,http://majorallianceinvest.com,6-12% monthly!,632 days,632 days,1,-0.3,108.00%,$100,"$500,000",n/a,['PerfectM']
Grand Capitalism,PAYING,http://www.grandcapitalism.com,http://www.grandcapitalism.com,5.5-14.5% monthly!,621 days,621 days,1,0.4,82.50%,$100,"$350,000",n/a,['PerfectM']
Major Spend,PAYING,http://majorspend.com/?ref=goldpoll,http://majorspend.com,1-3% daily!,459 days,459 days,1,0.7,307.00%,$1,n/a,5%,['PerfectM']
Thai Monetary Fund,PAYING,https://www.thaimonetaryfund.com/client/goldpoll.html,http://www.thaimonetaryfund.com,1.1-1.7% daily!,122 days,121 days,2,62.1,116.60%,$10,"$1,000,000",5%,"['Ego', 'PerfectM', 'Stp']"
Private Investment Fund,PAYING,http://private-ifund.com/,http://private-ifund.com,5-10% monthly!,807 days,451 days,1,0.7,100.60%,$100,"$100,000",10%,['PerfectM']
Lithuania Trade,PAYING,http://lithuaniatrade.net/?ref=goldpoll,http://lithuaniatrade.net,1-2% weekly!,1026 days,1026 days,1,0.5,143.00%,$10,n/a,5%,['PerfectM']
Aglow Investment Club,PAYING,http://aglowinv.com,http://aglowinv.com,4% weekly!,374 days,374 days,1,45.2,212.00%,$10,"$100,000",n/a,['PerfectM']
Lotus River,PAYING,http://lotusriver.net/?ref=goldpoll,http://lotusriver.net,4.5-7.5% weekly!,459 days,459 days,1,0.1,288.00%,$10,n/a,5%,['PerfectM']
Onet Capital,PAYING,http://onetcapital.com/?ref=goldpoll,http://onetcapital.com,0.3-0.5% daily!,459 days,459 days,1,0.2,96.90%,$10,n/a,4%,['PerfectM']
AM Fund Group,PAYING,http://amfundgroup.com/?ref=goldpoll,http://amfundgroup.com,2-3% daily!,171 days,171 days,2,18.8,340.00%,$1,n/a,5%,"['Ego', 'PerfectM']"
Forex Share,PAYING,http://forexshare.biz/?ref=goldpoll,http://forexshare.biz,0.6-2.4% daily!,359 days,359 days,1,1.2,206.40%,$5,"$200,000",1-5%,"['Ego', 'PerfectM', 'Stp']"
Diamond Coins,PAYING,http://diamondcoins.net/?ref=goldpoll,http://diamondcoins.net,0.4-1% daily!,336 days,336 days,1,0.3,92.00%,$10,n/a,6%,['PerfectM']
Cheetah Shares,PAYING,http://cheetahshares.com/?ref=goldpoll,http://cheetahshares.com,0.5-2% daily!,336 days,336 days,1,0.2,114.50%,$20,n/a,4%,['PerfectM']
Invest Area,PAYING,http://invest-area.com/?ref=goldpoll,http://invest-area.com,1.3-3% daily!,201 days,201 days,2,0.1,252.20%,$10,n/a,7%,"['PerfectM', 'Stp']"
NFSCO,PAYING,http://nfsco.biz/?ref=goldpoll,http://nfsco.biz,1.7-4% daily!,126 days,126 days,2,0.2,207.40%,$20,n/a,7%,['PerfectM']
Oil Finance,PAYING,http://www.oilfinanceco.biz,http://www.oilfinanceco.biz,108% after 1 month or 20-25% every 7 business days!,1231 days,1961 days,1,0.7,608.00%,$25,"$500,000",n/a,"['Bankwire', 'PerfectM']"
World Trade Market,PROBLEM,http://worldtrademarket.biz/?ref=goldpoll,http://worldtrademarket.biz,2-4% daily!,295 days,295 days,1,0.5,476.00%,$10,n/a,4%,['PerfectM']
Royal Earn,PAYING,https://www.royalearn.com/goldpoll.html,http://www.royalearn.com,8-11% daily for 15 days!,106 days,106 days,2,18.8,576.00%,$30,"$200,000",5%,"['Ego', 'PerfectM', 'Stp']"
Mercanus,PAYING,http://mercanus.net/?ref=goldpoll,http://mercanus.net,103% after 1 week!,316 days,316 days,1,0.2,232.00%,$10,$350,1%,['PerfectM']
Profits Progress,PAYING,http://profitsprogress.com/?ref=goldpoll,http://profitsprogress.com,10.5-18% daily!,283 days,283 days,1,36.7,1453.50%,$5,n/a,4-5%,"['Ego', 'PerfectM']"
Fin - Corporation,PAYING,https://fin-corporation.com//?ref=goldpoll,http://fin-corporation.com,1.4-1.8% daily!,134 days,133 days,2,78.0,180.60%,$10,"$90,000",1-5%,"['Ego', 'PerfectM', 'Stp']"
Fxweal,PAYING,http://fxweal.com/?ref=goldpoll,http://fxweal.com,0.5-2% daily!,297 days,297 days,1,0.1,92.00%,$10,"$100,000",5%,"['Ego', 'PerfectM', 'Stp']"
FinMutual,PAYING,https://www.finmutual.com/?ref=goldpoll,http://www.finmutual.com,1.8-2.6% daily!,216 days,216 days,2,28.6,266.40%,$25,n/a,5%,"['Ego', 'PerfectM', 'Stp']"
3Choose,PAYING,http://www.3choose.com/?r=admin@goldpoll.com&a=U1786712&e=PerfectMoney,http://www.3choose.com,1.1-4% daily!,253 days,252 days,1,2.1,198.00%,$30,"$30,000",3%,"['Ego', 'Pecunix', 'PerfectM']"
Aen Digit,PAYING,http://aendigit.com/?ref=goldpoll,http://aendigit.com,8-12% monthly!,336 days,336 days,1,0.2,72.00%,$90,n/a,5%,['PerfectM']
In-India,PAYING,http://in-india.in/?ref=goldpoll,http://in-india.in,3% weekly!,227 days,227 days,1,0.2,93.00%,$50,$500,2%,['PerfectM']
KLM Trade,PAYING,http://klmtrade.com/?ref=goldpoll,http://klmtrade.com,3-5% daily!,154 days,154 days,2,9.2,327.00%,$1,n/a,5%,"['Ego', 'PerfectM', 'Stp']"
Bank of Belize,PAYING,http://bank-of-belize.com/?ref=goldpoll,http://bank-of-belize.com,4% weekly!,215 days,215 days,1,0.1,120.00%,$50,"$10,000",2-3%,['PerfectM']
Safety Assets,PAYING,http://www.safetyassets.com/?ref=goldpoll,http://www.safetyassets.com,3.49% daily!,93 days,93 days,2,5.4,324.57%,$5,n/a,1-4%,"['Ego', 'PerfectM']"
Fx Capitalism,PAYING,http://www.fxcapitalism.com/?ref=goldpoll,http://www.fxcapitalism.com,5.5-10% daily!,675 days,675 days,1,63.3,1324.50%,$10,n/a,4-5%,"['Ego', 'PerfectM']"
Inv Global Ltd,PAYING,https://inv.bz/?ref=INV36790,http://inv.bz,1.2-2.5% daily!,170 days,170 days,1,15.6,184.80%,$10,n/a,5-8%,"['Ego', 'PerfectM']"
Invinator,PAYING,http://invinator.com/index.php?ref=goldpoll,http://invinator.com,2.5-3% daily!,157 days,157 days,1,12.7,277.50%,$1,n/a,5%,"['Ego', 'PerfectM']"
Eblone,PAYING,https://eblone.com/?ref=eblone81364,http://eblone.com,1.3-1.7% daily!,93 days,56 days,2,11.0,61.20%,$50,n/a,5%,"['Bankwire', 'Ego', 'PerfectM']"
Fxglonet,PAYING,http://fxglonet.com/?ref=goldpoll,http://fxglonet.com,4.5-8% daily!,154 days,136 days,1,31.3,594.00%,$5,n/a,4-5%,"['Ego', 'PerfectM']"
Betnet Co,PAYING,http://betnetco.com/?ref=goldpoll,http://betnetco.com,2-3% daily!,116 days,117 days,2,0.3,226.00%,$25,n/a,10%,['PerfectM']
MH Profit,PAYING,http://mhprofit.com/?ref=goldpoll,http://mhprofit.com,4-5% daily!,111 days,111 days,2,7.9,312.00%,$1,"$100,000",1-10%,"['Ego', 'PerfectM']"
ATB Union,PAYING,https://atbunion.com/index.php?ref=14791,http://atbunion.com,1-2.4% daily!,136 days,136 days,1,19.6,130.00%,$10,"$90,000",5%,['PerfectM']
FX-9,PROBLEM,https://fx-9.net/?ref=goldpoll,http://fx-9.net,2.3-2.9% daily!,133 days,133 days,1,22.9,292.10%,$10,"$20,000",1-4%,"['Ego', 'PerfectM', 'Stp']"
Solid Trade Bank,PAYING,https://solidtradebank.com/?ref=goldpoll,http://solidtradebank.com,0.5% daily!,143 days,144 days,1,3.1,66.50%,$25,"$1,000,000",1-5%,"['Ego', 'PerfectM']"
ApexBinary Ltd,PAYING,https://apexbinary.com/?ref=goldpoll,http://apexbinary.com,1.2-2.4% daily!,87 days,87 days,2,13.5,94.80%,$10,n/a,5%,"['Ego', 'PerfectM', 'Stp']"
Dublin Cryptorium Ltd,PAYING,https://www.cryptory.com/?id=304061,http://www.cryptory.com,0.25-0.5% daily!,114 days,101 days,1,0.0,24.75%,$50,"$100,000",20-30%,"['Bankwire', 'Ego', 'PerfectM', 'Stp']"
Bett Coin Ltd,PAYING,https://bettcoin.com/?user=goldpoll,http://bettcoin.com,1-2.6% daily!,43 days,32 days,2,3.3,31.00%,$10,"$20,000",7%,"['Bankwire', 'PerfectM']"
Barclays Royal Club Ltd,PAYING,https://barclaysclub.com/?ref=goldpoll,http://barclaysclub.com,9.5-10.5% daily!,32 days,32 days,2,23.1,294.50%,$10,"$20,000",6%,"['Bankwire', 'Ego', 'PerfectM', 'Stp']"
Sodis Fund,PAYING,https://sodisfund.biz/?rid=96,http://sodisfund.biz,7.5-11% daily!,47 days,47 days,2,35.7,217.50%,$10,"$10,000,000",10%,"['Ego', 'PerfectM']"
MS Invest,PAYING,http://msinv.biz,http://msinv.biz,110-115% after 1 month!,1186 days,2250 days,1,-0.7,832.82%,$100,"$5,000",n/a,['PerfectM']
Alternative Energy,PAYING,http://alternative-energy.biz/?ref=goldpoll,http://alternative-energy.biz,103-130% after 1 day!,55 days,55 days,2,48.4,241.00%,$10,"$100,000",3%,"['Ego', 'PerfectM', 'Stp']"
Kings Of Profit,PAYING,http://kingsofprofit.biz/?ref=goldpoll,http://kingsofprofit.biz,103-130% after 1 day!,86 days,86 days,1,64.7,280.00%,$10,"$50,000",1%,"['Ego', 'PerfectM']"
Remi Trade,PAYING,http://remitrade.com/?partner=goldpoll,http://remitrade.com,0.44-3% daily!,93 days,93 days,1,13.1,63.64%,$10,"$500,000",5%,"['Bankwire', 'PerfectM']"
Global Invest Group,PAYING,http://globalinvestgroup.net/?ref=goldpoll,http://globalinvestgroup.net,1% weekly!,111 days,111 days,1,0.2,15.00%,$10,"$100,000",1%,['PerfectM']
Air Forex,PAYING,https://www.airforex.net/partner/goldpoll,http://www.airforex.net,1.1-3.5% daily!,109 days,101 days,1,0.2,81.40%,$5,"100,000",3-10%,"['Ego', 'PerfectM', 'Stp']"
Fxline Limited,PAYING,http://fxlineltd.com/?ref=goldpoll,http://fxlineltd.com,0.5-3.5% daily!,87 days,87 days,1,5.0,243.00%,$10,"$50,000",6%,"['Ego', 'PerfectM', 'Stp']"
Inside Forex,PAYING,http://www.inside-forex.info/en/?r=goldpoll,http://www.inside-forex.info,1-3% daily!,127 days,71 days,1,4.7,48.02%,$10,"$10,000",5%,"['Ego', 'PerfectM', 'Stp']"
Financial Promoter Llc,PAYING,https://www.financialpromoter.com/?ref=goldpoll,http://www.financialpromoter.com,1-2% daily!,108 days,84 days,1,-0.8,118.00%,$10,"$100,000",5%,"['Ego', 'Payza', 'PerfectM', 'Stp']"
FX - 500,PAYING,http://fx-500.com/?ref=goldpoll,http://fx-500.com,3% weekly!,79 days,79 days,1,0.1,33.00%,$50,n/a,2%,['PerfectM']
K and B Investment,PAYING,http://kebinvestment.com/?ref=goldpoll,http://kebinvestment.com,0.5-2% daily!,74 days,74 days,1,10.3,49.00%,$10,"$100,000",2%,['PerfectM']
Endless Investment,PROBLEM,http://www.endlessinvestment.com/?ref=U1786712,http://www.endlessinvestment.com,7-9% daily for 15 days!,240 days,241 days,1,4.7,987.00%,$5,n/a,5%,['PerfectM']
Global Business Technology,PAYING,http://gbt-network.com/ref/52af1286c60a669207b2eaea.php,http://gbt-network.com,0.85-1.6% daily!,75 days,74 days,1,0.1,62.00%,$50,"$10,000",3-7%,"['Ego', 'PerfectM']"
FinLegacy,PAYING,https://finlegacy.com/?ref=goldpoll,http://finlegacy.com,1% daily or 10% weekly!,88 days,54 days,1,0.2,49.00%,$10,$250,10%,['PerfectM']
AcroFx Ltd,PAYING,https://www.acrofx.com/@goldpoll,http://www.acrofx.com,1.5-3.5% daily!,69 days,69 days,1,7.8,84.00%,$25,"$1,000,000",12%,"['Ego', 'PerfectM']"
Michael Kazakov Investment Group Ltd,PAYING,http://michaelkazakov.com/?ref=goldpoll,http://michaelkazakov.com,0.3-0.5% daily!,72 days,66 days,1,0.3,13.20%,$20,n/a,2%,"['Paypal', 'PerfectM']"
Lev Club,PAYING,http://levclub.com/U1786712,http://levclub.com,5% daily!,72 days,58 days,1,8.0,270.00%,$1,"$2,000",5%,['PerfectM']
ITMobiles,PAYING,https://itmobiles.net/?ref=goldpoll,http://itmobiles.net,0.9-7.85% daily!,84 days,72 days,1,5.2,431.75%,$10,"$50,000",5%,"['Ego', 'PerfectM']"
Zeus - Invest,PAYING,https://zeus-invest.com/?ref=goldpoll,http://zeus-invest.com,0.9-1.5% daily!,93 days,93 days,1,0.1,75.02%,$10,"$50,000",1-10%,"['Bankwire', 'Ego', 'PerfectM', 'Stp']"
Instant Maker,PAYING,http://instant-maker.com/?ref=goldpoll,http://instant-maker.com,102.5-110% after 1 day!,73 days,73 days,1,5.2,126.00%,$5,"$80,000",3-5%,"['Ego', 'PerfectM']"
Paying Profit,PAYING,http://www.payingprofit.biz/?ref=goldpoll,http://www.payingprofit.biz,6-7% daily!,105 days,55 days,1,12.5,285.95%,$1,n/a,4%,['PerfectM']
Ebuild Wealth,PAYING,http://www.ebuildwealth.com/?ref=goldpoll,http://www.ebuildwealth.com,1-15.7% daily!,55 days,50 days,1,7.6,739.20%,$10,"$10,000",3%,"['Ego', 'PerfectM']"
Deposit Merchant,PAYING,http://www.depositmerchant.com,http://www.depositmerchant.com,8-11% daily!,51 days,51 days,1,0.2,296.00%,$10,"$200,000",n/a,['PerfectM']
UE Centre,PAYING,http://www.uecentre.com/?ref=goldpoll,http://www.uecentre.com,1-1.4% daily!,48 days,45 days,1,21.2,36.00%,$10,n/a,5%,"['Ego', 'Paypal', 'Payza', 'Pecunix', 'PerfectM', 'Stp']"
Lionstone Fund,PAYING,http://lionstonefund.com/?ref=goldpoll,http://lionstonefund.com,0.9-1.6% daily!,78 days,55 days,1,0.1,40.70%,$5,"$25,000",2-6%,"['Ego', 'PerfectM']"
Large - Deal,PROBLEM,http://www.large-deal.com/?LDC=goldpoll,http://www.large-deal.com,103-120% after 1 day!,43 days,44 days,1,4.8,93.00%,$10,"$80,000",5%,['PerfectM']
American - Finance,PAYING,http://american-finance.biz/index.php?e=admin@goldpoll.com,http://american-finance.biz,10-15% daily for 12 days!,43 days,43 days,1,0.2,320.00%,$10,"$100,000",5%,['PerfectM']
Como Credit,PAYING,http://www.comocredit.biz/?ref=628934,http://www.comocredit.biz,1.4-2% daily!,45 days,35 days,1,0.3,70.00%,$10,"$50,000",5-8%,"['Ego', 'PerfectM']"
Holy 25 Pay,PAYING,https://www.holy25pay.com/ref/goldpoll,http://www.holy25pay.com,2-25% daily!,44 days,36 days,1,0.3,160.00%,$10,"$5,000",1-15%,"['Ego', 'PerfectM']"
Alvin Fund,PAYING,http://alvinspace.com,http://alvinspace.com,2-20% after 1 day!,38 days,38 days,1,0.2,52.00%,$10,"$200,000",3%,"['Ego', 'PerfectM']"
Atlantic - US,PAYING,https://atlantic-us.com/?bis=goldpoll,http://atlantic-us.com,1.34-1.84% daily!,100 days,42 days,1,0.1,38.86%,$15,"$26,000",5%,"['Bankwire', 'Ego', 'PerfectM']"
Zeppelin Invest,PAYING,https://zeppelininvest.com/?zref=goldpoll,http://zeppelininvest.com,0.8-3.2% daily!,36 days,36 days,1,0.1,28.80%,$30,"$30,000",3-5%,"['Ego', 'PerfectM']"
BTC eTrade,PAYING,https://btc-etrade.com/?ref=goldpoll,http://btc-etrade.com,102.5-140% after 1 day!,36 days,35 days,1,0.7,162.50%,$10,"$200,000",2%,"['Ego', 'PerfectM']"
Tristar Profit Fund,PAYING,http://www.tristarprofitfund.com/GO1754248,http://www.tristarprofitfund.com,1.8-3% daily!,34 days,34 days,1,0.4,198.00%,$10,n/a,1-5%,['PerfectM']
Hex Fund,PAYING,https://hexfund.net/?ref=goldpoll,http://hexfund.net,6-9% daily!,31 days,31 days,1,17.2,156.00%,$10,"$30,000",10%,"['Ego', 'PerfectM']"
FXF Traders,PAYING,http://fxftraders.ru/?ref=goldpoll,http://fxftraders.ru,0.5-12.5% weekly!,58 days,38 days,1,0.1,6.24%,$10,n/a,3%,"['Ego', 'PerfectM']"
Forvision Ltd,PAYING,http://forvisionltd.com/?ref=goldpoll,http://forvisionltd.com,102-120% after 1 day!,30 days,30 days,1,2.5,163.00%,$10,"$20,000",5%,"['Ego', 'PerfectM']"
Bets Plus,PROBLEM,https://betsplus.co/?ref=goldpoll,http://betsplus.co,1.4-2.3% daily!,28 days,28 days,1,0.2,36.40%,$10,"$10,000",6%,"['Ego', 'PerfectM']"
Nano Industry Investments,PAYING,http://nanoindustryinv.com/?ref=goldpoll,http://nanoindustryinv.com,104% after 7 days!,44 days,43 days,1,0.1,120.00%,$20,$500,1%,"['Ego', 'PerfectM']"
Eos Financial,PAYING,http://eosz.com/?ref=goldpoll,http://eosz.com,0.9-1.65% daily!,26 days,26 days,1,0.1,21.60%,$10,"$30,000",1-3%,"['Ego', 'PerfectM']"
X-Axis Inc,PAYING,https://x-axisinc.com/?ref=goldpoll,http://x-axisinc.com,1-4% daily!,26 days,24 days,1,3.7,44.00%,$10,n/a,5-7%,"['Ego', 'PerfectM', 'Stp']"
Oil - Green,PAYING,http://oil-green.com/?ref=goldpoll,http://oil-green.com,103-120% after 1 day!,24 days,23 days,1,1.4,151.00%,$10,"$100,000",2%,"['Ego', 'PerfectM']"
Vast Earn,PAYING,http://vastearn.biz/?ref=goldpoll,http://vastearn.biz,104-130% after 1 day!,24 days,24 days,1,0.5,172.00%,$10,"$100,000",4%,"['Ego', 'PerfectM']"
Highline FX,PAYING,http://highlinefx.com/?ref_str=goldpoll,http://highlinefx.com,various,24 days,25 days,1,0.1,35.49%,$10,n/a,6%,"['Ego', 'PerfectM']"
CashLab,PAYING,http://www.cashlab.biz/index.php?ref=goldpoll,http://www.cashlab.biz,103-120% after 1 day!,20 days,20 days,1,8.2,139.00%,$7,"$30,000",3%,"['Ego', 'PerfectM']"
Gold of Maya,PAYING,https://goldofmaya.com/ref-goldpoll,http://goldofmaya.com,2-8% daily!,24 days,23 days,1,0.9,160.00%,$10,"$10,000",2-5%,"['Ego', 'PerfectM']"
Lucrative Investment,PAYING,http://lucrative-investment.net/?affID=WGF5RJZZ,http://lucrative-investment.net,103-125% after 1 day!,38 days,38 days,1,2.3,69.00%,$10,"$5,000",5%,"['Bankwire', 'PerfectM']"
Index - Group,PAYING,https://www.index-group.net/?ref=goldpoll,http://www.index-group.net,1.1-2% daily!,22 days,21 days,1,0.1,23.10%,$10,"$15,000",5%,"['Ego', 'PerfectM']"
3-Business,PAYING,http://3-business.com/?ref=goldpoll,http://3-business.com,3% weekly!,21 days,21 days,1,0.1,6.00%,$55,$555,1%,['PerfectM']
C-7,PAYING,http://c-7.cc/?ref=goldpoll,http://c-7.cc,3% weekly!,20 days,20 days,1,0.2,6.00%,$50,$500,1%,['PerfectM']
Forex Bulls Limited,PAYING,http://forexbullsltd.com/?ref=goldpoll,http://forexbullsltd.com,2-6% daily!,169 days,34 days,1,0.1,28.00%,$10,n/a,5%,"['Bankwire', 'Ego', 'PerfectM', 'Stp']"
Honesty Invest,PAYING,http://honestyinvest.com/?ref=goldpoll,http://honestyinvest.com,8-10% daily!,16 days,18 days,1,7.3,96.00%,$5,"$25,000",1-3%,"['Ego', 'PerfectM']"
Forex Paradise,PAYING,http://forexparadise.biz/?ref=goldpoll,http://forexparadise.biz,0.5-0.9% daily!,18 days,18 days,1,0.1,6.50%,$25,"$500,000",1-5%,"['Bankwire', 'Ego', 'PerfectM', 'Stp']"
Energy - Money,PROBLEM,https://energy-money.net/?ref=goldpoll,http://energy-money.net,1.1-2.7% daily!,18 days,16 days,1,0.2,15.40%,$10,"$30,000",4%,"['Ego', 'PerfectM']"
Expert Forex Group,PAYING,http://efgroup.biz/?ref=goldpoll,http://efgroup.biz,101-107% after 1 day or 2-10.5% daily!,17 days,17 days,1,0.1,26.00%,$15,n/a,4%,"['Ego', 'PerfectM']"
Invest - Technology,PROBLEM,https://invest-technology.com/?partner=admin@goldpoll.com,http://invest-technology.com,18-19% daily!,76 days,23 days,1,1.5,342.00%,$10,"$20,000",3%,"['Ego', 'PerfectM']"
IWM,PAYING,https://int-wm.com/register?id=5,http://int-wm.com,1-4% daily!,17 days,17 days,1,10.0,14.00%,$1,n/a,1%,"['Bankwire', 'Ego', 'PerfectM']"
PornRotor,PAYING,https://pornrotor.com/?ref=goldpoll,http://pornrotor.com,0.5-2.5% daily!,15 days,11 days,1,0.1,15.30%,$1,"$500,000",5%,"['Ego', 'PerfectM']"
Sunrise Investments,PAYING,http://sunriseinvestment.net/?ref=goldpoll,http://sunriseinvestment.net,1-1.5% daily!,11 days,11 days,1,0.3,10.00%,$10,"$10,000",5%,"['Ego', 'PerfectM']"
Gold - Lands,PAYING,https://gold-lands.biz/?ref=goldpoll,http://gold-lands.biz,102-106% after 1 day!,10 days,10 days,1,2.3,114.00%,$5,n/a,3.5%,"['Ego', 'PerfectM']"
Pro Capitaler,PAYING,https://procapitaler.com/?ref=goldpoll,http://procapitaler.com,1-1.6% daily!,10 days,10 days,1,2.5,10.80%,$25,n/a,5%,"['Ego', 'PerfectM']"
