sep=;
Name;Status;URL;Clean URL;Payouts;Life time;Monitoring;Admin rate;User rate;Funds return;Min deposit;Max deposit;Referral bonus
INVHYIPS;NOT PAYING;http://investmenthyips.com/?ref=goldpoll;http://investmenthyips.com;15-25% daily!;15 days;15 days;1;-0.2;180.00%;$1;$10,000;5%
Royal Cash Back;NOT PAYING;http://royalcashback.com/?ref=RCB024288;http://royalcashback.com;102.5-110% after 1 day!;5 days;5 days;1;0.0;114.00%;$5;$10,000;3%
Imperial Funds;NOT PAYING;https://www.imperial-funds.net/?ref=goldpoll;http://www.imperial-funds.net;1.5-3% daily!;22 days;22 days;1;1.9;19.50%;$10;$50,000;5%
Valencia FH;NOT PAYING;https://www.valenciafh.com/?ref=goldpoll;http://www.valenciafh.com;2.5-3% daily!;27 days;26 days;1;9.8;60.00%;$20;n/a;2-5%
Blu Oro Asset Management Service;NOT PAYING;https://bluoro.com/?ref=goldpoll;http://bluoro.com;1.5-2.5% daily!;29 days;29 days;1;0.1;39.00%;$10;$50,000;1-5%
Golden Cabrio;NOT PAYING;https://golden-cabrio.com/?ref=goldpoll;http://golden-cabrio.com;105-115% after 1 week!;63 days;33 days;1;-0.2;120.00%;$1;n/a;1%
DOA Trade;NOT PAYING;http://doatrade.com/?ref=goldpoll;http://doatrade.com;6-8% daily!;79 days;79 days;2;12.5;330.00%;$1;n/a;5%
3 PAMM;NOT PAYING;https://3pamm.com/ref/goldpoll.html;http://3pamm.com;1-2.3% daily!;120 days;117 days;1;0.0;107.00%;$10;$60,000;5%
Capital Turbo Ltd;NOT PAYING;http://capitalturboltd.com/?ref=goldpoll;http://capitalturboltd.com;2.2-6.6% daily!;623 days;623 days;1;1.8;1117.60%;$50;n/a;4%
Smtl Ltd;NOT PAYING;http://smtl.biz/?ref=goldpoll;http://smtl.biz;2-4% daily!;726 days;726 days;1;67.8;1400.00%;$5;n/a;n/a
